"title","year","certificate","runtime","genre","filmcontent","director__001","director__002","director__003","gross"
"Slumdog Millionaire","2008","R","120","Drama, Romance","A Mumbai teen reflects on his upbringing in the slums when he is accused of cheating on the Indian Version of ""Who Wants to be a Millionaire?""","Danny Boyle","Loveleen Tandan","","141.32"
"The Hurt Locker","2008","R","131","Drama, Thriller, War","During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.","Kathryn Bigelow","","","17.02"
"The King's Speech","2010","R","118","Biography, Drama, History","The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.","Tom Hooper","","","138.80"
"The Artist","null","PG-13","100","Comedy, Drama, Romance","An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.","Michel Hazanavicius","","","44.67"
"Argo","2012","R","120","Biography, Drama, Thriller","Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.","Ben Affleck","","","136.03"
"12 Years a Slave","2013","R","134","Biography, Drama, History","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.","Steve McQueen","","","56.67"
"Birdman or (The Unexpected Virtue of Ignorance)","2014","R","119","Comedy, Drama","A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.","Alejandro G. Iñárritu","","","42.34"
"Spotlight","null","R","129","Crime, Drama, History","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","Tom McCarthy","","","45.06"
"Moonlight","null","R","111","Drama","A chronicle of the childhood, adolescence and burgeoning adulthood of a young, African-American, gay man growing up in a rough neighborhood of Miami.","Barry Jenkins","","","27.85"
"The Shape of Water","2017","R","123","Adventure, Drama, Fantasy","At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity.","Guillermo del Toro","","","63.86"
